epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.0902091711972453,0.7688743075568775,0.5902428699931214,0.7146383608985436,0.001
2,0.6997007123534216,0.8101236486664468,0.7421027567596169,0.7158726240434461,0.001
3,0.5737914946938489,0.5746653837587945,0.7953330864066882,0.7943717600592446,0.001
4,0.5058200121165596,0.46911288590026295,0.82099581988465,0.8323870649222415,0.001
5,0.43476621355857287,0.4032985002751469,0.8481930260860363,0.8565786225623303,0.001
6,0.3911103264413546,0.42606155267911794,0.8651251388962379,0.8491730436929154,0.001
7,0.3646367375522929,0.39864610558202374,0.8724271125456373,0.8674401382374722,0.001
8,0.3130572507230559,0.348620492715772,0.8892004867982433,0.8790422117995557,0.001
9,0.2937815792661879,0.34107958269219313,0.8990951902217048,0.8824981486052826,0.001
10,0.2738828186295236,0.2733373020393293,0.9047039525900842,0.9066897062453715,0.001
11,0.23506158703618898,0.25925630676072486,0.9185142071009048,0.91088620093804,0.001
12,0.2402053055137079,0.26253747769386143,0.9156569130641833,0.9121204640829425,0.001
13,0.20584858843134324,0.2502825731069946,0.928567649081962,0.9086645272772155,0.001
14,0.2074952989215857,0.24833923345788028,0.9286205619344939,0.9160701061466304,0.001
15,0.1934547587843621,0.21774814735295242,0.9331181543997037,0.9252036534189089,0.001
16,0.17106132904843582,0.20891943063391075,0.9408434308693582,0.9289064428536163,0.001
17,0.16189270901639938,0.22395697083775717,0.944441504841526,0.9259442113058504,0.001
18,0.14743065215023152,0.21266788976982887,0.9496798772421822,0.9313749691434213,0.001
19,0.13750202737934306,0.20239963230748909,0.9522196941637123,0.9323623796593433,0.001
20,0.13940716679397952,0.18690912130143253,0.9496269643896502,0.9323623796593433,0.001
21,0.12480739194449782,0.1684304127219988,0.9570876765966453,0.9451987163663294,0.001
22,0.1142298829685056,0.17148801600880106,0.9595216678131118,0.9439644532214269,0.001
23,0.11668447825153502,0.16291227955872323,0.96031536060109,0.9469266847691928,0.001
24,0.10376490897615472,0.19666328592539953,0.9648658659188317,0.9363120217230313,0.001
25,0.09348721672138263,0.2781817648946959,0.9672469442827663,0.9121204640829425,0.001
26,0.10918379890793524,0.16027758103687068,0.961214879094132,0.9481609479140953,0.001
27,0.08232876464871983,0.17428365021657133,0.971797449600508,0.9449518637373489,0.001
28,0.08706724635428414,0.19780059570046127,0.968675591301127,0.9390274006418169,0.001
29,0.06948712906690367,0.18732569362463347,0.9762950420657177,0.9424833374475439,0.001
30,0.07052476778191802,0.1962049708149222,0.9747076564897613,0.9454455689953098,0.001
31,0.05990337142994563,0.1858663699106651,0.978834858987248,0.9459392742532708,0.001
32,0.0638988820888159,0.18492138594337465,0.9775649505264828,0.9432238953344854,0.001
33,0.061810212828468485,0.19531310430075674,0.9782528176093973,0.9496420636879783,0.001
34,0.06665624442640748,0.1758864507009235,0.9767712577385047,0.9474203900271538,0.001
35,0.06384140818592064,0.25103088733709117,0.9778824276416742,0.9372994322389533,0.001
36,0.0578918015618155,0.19294535451628667,0.9809513730885232,0.9459392742532708,0.001
37,0.048413478760935276,0.19043432596553198,0.9834911900100535,0.9523574426067638,0.001
38,0.04244172572458829,0.18566702306638438,0.9856077041113286,0.9498889163169588,0.001
39,0.049507017949997865,0.21777055286546013,0.9836499285676491,0.9449518637373489,0.001
40,0.0359315238283698,0.1751647041469143,0.9871421768347531,0.9558133794124908,0.001
41,0.04111836857581632,0.19754892415513053,0.986348484046775,0.9439644532214269,0.001
42,0.04747979548366562,0.22801384523830953,0.9839144928303085,0.9442113058504074,0.001
43,0.03984841069513012,0.17663153829809414,0.9875654796550082,0.9555665267835103,0.001
44,0.03259911090315073,0.2004262428207475,0.9892586909360284,0.9526042952357443,0.001
45,0.02644706713942928,0.3432990464346699,0.9902640351341341,0.9242162429029869,0.001
46,0.04934027021020198,0.2196730558630111,0.9833853643049897,0.9422364848185634,0.001
47,0.023254175616878765,0.19127792065723595,0.9925392877930049,0.9538385583806468,0.001
48,0.047388494565087126,0.19075839706657258,0.9838615799777766,0.9506294742039003,0.001
49,0.025010376613306448,0.17472925256929467,0.9926451134980687,0.9558133794124908,0.001
50,0.03887986961141709,0.17011232716699232,0.9868246997195619,0.9580350530733153,0.001
