optimizer,lr,test_acc_mean,test_acc_std,macro_f1_mean,conv_ep_90_mean,train_time_mean,diverged_count
Adam,0.001,0.9549794238683127,0.004207202607121673,0.9539884314839133,10.0,100.94923146565755,0
NAG,0.01,0.9546502057613169,0.006277305338491633,0.953369820234813,13.333333333333334,97.77814523379008,0
SGD_Momentum,0.01,0.9545679012345679,0.006574581212688575,0.9533254101932807,14.0,97.48422582944234,0
RMSProp,0.001,0.9519341563786008,0.003563890550553197,0.950486080959748,14.0,99.70027263959248,0
Adagrad,0.01,0.9471604938271606,0.002431816741184204,0.9449234943784269,21.0,99.2208890914917,0
SGD_Momentum,0.001,0.9241152263374485,0.0030674313010014844,0.9211907065111107,71.0,96.95572185516357,0
NAG,0.001,0.9213991769547326,0.0020109945222832252,0.9184660526393292,71.33333333333333,97.79472390810649,0
SGD,0.01,0.9164609053497942,0.002055966419225766,0.913072279286264,79.0,96.22050094604492,0
Adam,0.0001,0.9146502057613168,0.0030474911245388626,0.9113279620482523,74.66666666666667,99.68520919481914,0
RMSProp,0.0001,0.9137448559670781,0.002398156754622827,0.9101820362057178,81.0,98.2401328086853,0
Adagrad,0.001,0.8072427983539096,0.0022942156155993866,0.7974885464288078,,98.25274872779846,0
RMSProp,0.01,0.7779423868312757,0.019311946503456738,0.7682232903950471,,99.06205240885417,0
NAG,0.0001,0.7542386831275719,0.003406453018366263,0.7416269314258459,,97.93484584490459,0
SGD_Momentum,0.0001,0.7539094650205761,0.00485317629228169,0.7409638837653328,,97.01637276013692,0
SGD,0.001,0.7449382716049383,0.007935880829623827,0.7337729010174927,,96.03753320376079,0
Adagrad,0.0001,0.637201646090535,0.008028805529716696,0.6207972158487767,,98.13801789283752,0
Adam,0.01,0.5762962962962963,0.40289245328409345,0.5408586590891096,,100.63282521565755,0
SGD,0.0001,0.25176954732510287,0.016582472908557536,0.13810744233724484,,96.22381456693013,0
